cirNames	simNames
V(vdac1)	VDAC1
V(base)	Vb
I(Rrb100)	IRB100
V(vdac0)	VDAC0
V(dac0mult)	VDAC0mult
Ie(Qq2)	Itop
V(cres1k)	VCRes1k
V(cres10)	VCRes10
V(collector)	Vc
I(Rrc1k)	IRC1k
I(Rrc10a)	IRC10a
I(Rrc10b)	IRC10b
I(Rrc10c)	IRC10c
I(Rrc10d)	IRC10d
I(Rrc10e)	IRC10e
V(bres100div)	VBRes100Div
V(cres1kdiv)	VCRes1kDiv
V(cres10div)	VCRes10Div
V(collectordiv)	VcDiv
V(basediv)	VbDiv
V(emitter)	Ve
V(emitterdiv)	VeDiv
V(dac0multtoemitterwire)	VDAC0toEmitter
V(dac0multtocollectorwire)	VDAC0toCollector
V(cresexhaust)	VCResPreSwitch
V(collectorlevelpreselect)	CollectorLevelPreSelect
